#  site  atom  site  atom  shell  is    irs        x             y             z             r          Joj(mRy)       Joj(meV)
    2     Co    2     Co    10     9   132      0.000000    -21.741308     -7.247103     22.917351     -0.0019842     -0.0269967
    2     Co    2     Co    10    10   133      0.000000    -21.741308      7.247103     22.917351     -0.0019844     -0.0269985
    2     Co    2     Co    10    11   134      0.000000     -7.247103    -21.741308     22.917351     -0.0019842     -0.0269969
    2     Co    2     Co    10    12   135      0.000000     -7.247103     21.741308     22.917351     -0.0019839     -0.0269923
    2     Co    2     Co    10    13   136      0.000000      7.247103    -21.741308     22.917351     -0.0019844     -0.0269987
    2     Co    2     Co    10    14   137      0.000000      7.247103     21.741308     22.917351     -0.0019840     -0.0269940
    2     Co    2     Co    10    15   138      0.000000     21.741308     -7.247103     22.917351     -0.0019839     -0.0269920
    2     Co    2     Co    10    16   139      0.000000     21.741308      7.247103     22.917351     -0.0019840     -0.0269938
    2     Co    2     Co    10    17   140      7.247103    -21.741308      0.000000     22.917351     -0.0019843     -0.0269984
    2     Co    2     Co    10    18   141      7.247103      0.000000    -21.741308     22.917351     -0.0019844     -0.0269993
    2     Co    2     Co    10    19   142      7.247103      0.000000     21.741308     22.917351     -0.0019841     -0.0269946
    2     Co    2     Co    10    20   143      7.247103     21.741308      0.000000     22.917351     -0.0019840     -0.0269937
    2     Co    2     Co    10    21   144     21.741308     -7.247103      0.000000     22.917351     -0.0019839     -0.0269922
    2     Co    2     Co    10    22   145     21.741308      0.000000     -7.247103     22.917351     -0.0019839     -0.0269928
    2     Co    2     Co    10    23   146     21.741308      0.000000      7.247103     22.917351     -0.0019841     -0.0269946
    2     Co    2     Co    10    24   147     21.741308      7.247103      0.000000     22.917351     -0.0019840     -0.0269940
    2     Co    2     Co    11     1   148    -21.741308     -7.247103     -7.247103     24.035920      0.0022286      0.0303214
    2     Co    2     Co    11     2   149    -21.741308     -7.247103      7.247103     24.035920      0.0022286      0.0303222
    2     Co    2     Co    11     3   150    -21.741308      7.247103     -7.247103     24.035920      0.0022286      0.0303222
    2     Co    2     Co    11     4   151    -21.741308      7.247103      7.247103     24.035920      0.0022287      0.0303231
    2     Co    2     Co    11     5   152     -7.247103    -21.741308     -7.247103     24.035920      0.0022286      0.0303215
    2     Co    2     Co    11     6   153     -7.247103    -21.741308      7.247103     24.035920      0.0022286      0.0303223
    2     Co    2     Co    11     7   154     -7.247103     -7.247103    -21.741308     24.035920      0.0022286      0.0303214
    2     Co    2     Co    11     8   155     -7.247103     -7.247103     21.741308     24.035920      0.0022284      0.0303195
    2     Co    2     Co    11     9   156     -7.247103      7.247103    -21.741308     24.035920      0.0022286      0.0303222
    2     Co    2     Co    11    10   157     -7.247103      7.247103     21.741308     24.035920      0.0022285      0.0303204
    2     Co    2     Co    11    11   158     -7.247103     21.741308     -7.247103     24.035920      0.0022285      0.0303196
    2     Co    2     Co    11    12   159     -7.247103     21.741308      7.247103     24.035920      0.0022285      0.0303205
    2     Co    2     Co    11    13   160      7.247103    -21.741308     -7.247103     24.035920      0.0022286      0.0303223
    2     Co    2     Co    11    14   161      7.247103    -21.741308      7.247103     24.035920      0.0022287      0.0303232
    2     Co    2     Co    11    15   162      7.247103     -7.247103    -21.741308     24.035920      0.0022286      0.0303222
    2     Co    2     Co    11    16   163      7.247103     -7.247103     21.741308     24.035920      0.0022285      0.0303204
    2     Co    2     Co    11    17   164      7.247103      7.247103    -21.741308     24.035920      0.0022287      0.0303231
    2     Co    2     Co    11    18   165      7.247103      7.247103     21.741308     24.035920      0.0022286      0.0303212
    2     Co    2     Co    11    19   166      7.247103     21.741308     -7.247103     24.035920      0.0022285      0.0303205
    2     Co    2     Co    11    20   167      7.247103     21.741308      7.247103     24.035920      0.0022286      0.0303213
    2     Co    2     Co    11    21   168     21.741308     -7.247103     -7.247103     24.035920      0.0022284      0.0303195
    2     Co    2     Co    11    22   169     21.741308     -7.247103      7.247103     24.035920      0.0022285      0.0303204
    2     Co    2     Co    11    23   170     21.741308      7.247103     -7.247103     24.035920      0.0022285      0.0303204
    2     Co    2     Co    11    24   171     21.741308      7.247103      7.247103     24.035920      0.0022286      0.0303212
    2     Co    2     Co    12     1   172    -14.494205    -14.494205    -14.494205     25.104700      0.0006617      0.0090035
    2     Co    2     Co    12     2   173    -14.494205    -14.494205     14.494205     25.104700      0.0006617      0.0090031
    2     Co    2     Co    12     3   174    -14.494205     14.494205    -14.494205     25.104700      0.0006617      0.0090031
    2     Co    2     Co    12     4   175    -14.494205     14.494205     14.494205     25.104700      0.0006617      0.0090027
    2     Co    2     Co    12     5   176     14.494205    -14.494205    -14.494205     25.104700      0.0006617      0.0090031
    2     Co    2     Co    12     6   177     14.494205    -14.494205     14.494205     25.104700      0.0006617      0.0090027
    2     Co    2     Co    12     7   178     14.494205     14.494205    -14.494205     25.104700      0.0006617      0.0090027
